App,Review,Category
Kiwi,It's an amazing concept. Where everyone will be benefited.,Fintech
Kiwi,Good for quick payments and rewards,Fintech
Kiwi,I want to know the reason why my account is block,Fintech
Kiwi,"I have 780 Credit Score, but app says unable to fetch Credit Score.",Fintech
Kiwi,No provision for editing application worst app and customer service. Application get rejected,Fintech
Kiwi,The worst app UPI payments keep failing Can't be trusted for payments They rejected my application due to a typo in address. Told me that I can edit the address but it shows application rejected My credit score is above 750 and don't have any bill lapses. The reason for low credit score or age are just excuses over their useless application development,Fintech
Kiwi,"Easy to use, exceptional UI",Fintech
Kiwi,"Useless application, just made for collecting your personal information, once u fullfill your pan, mob etc your application will be rejected, your data will be shared with other apps and you will start getting call from worthless people",Fintech
Kiwi,App interface is very slow to load,Fintech
Kiwi,Good app and great offers.Love this credit card,Fintech
Kiwi,"App doesn't show any unbilled amount, just to check unbilled amount you need Yes bank iris app, isn't that LOL. WHO WILL ALWAYS CALCULATE THE UNBILLED FROM available limit VS. credit limit. App really needs to update.",Fintech
Kiwi,Today I started this app I think this is the best app,Fintech
Kiwi,Really good credit card application,Fintech
Kiwi,Good credit card 💳 but no cash Back 😞,Fintech
Kiwi,Sorry to edit my rating but after redeeming the points once and now I'm not getting any points for whatever transaction I'm doing,Fintech
Kiwi,800+ credit score. 100% emi and credit card ontime payments. Still the credit card application got rejected. What else do you want guys? ..... Thank God I already have credit cards from 3 major indian banks.,Fintech
Kiwi,Not able to add bank account of my choice. Lot's of bugs. App ui waste. Full of bugs..,Fintech
Kiwi,"One of the worst upi app out there, customer service is non existant, if you email them, the reply will come after 4-5 days. No customer service number, no clarity on rewards, been trying to access my statement but the app wont even let me do that. Its pathetic, so if you are looking for some peace of mind in your transactions, i would recommend avoiding Kiwi",Fintech
Kiwi,Faltu gayab isase achcha to SBI ka vah mujhe ke loan de raha hai aur yah Tel a raha hai kya delay payment,Fintech
Kiwi,have to give 5 star but m not able to manage card through app that's why given 4 star.,Fintech
